source,target
debug,ms
minimatch,@isaacs/brace-expansion
strip-ansi,ansi-regex
string-width,get-east-asian-width
string-width,strip-ansi
brace-expansion,balanced-match
type-fest,tagged-tag
wrap-ansi,strip-ansi
wrap-ansi,ansi-styles
wrap-ansi,string-width
glob,foreground-child
glob,jackspeak
glob,minimatch
glob,minipass
glob,package-json-from-dist
glob,path-scurry
color-convert,color-name
readable-stream,abort-controller
readable-stream,buffer
readable-stream,events
readable-stream,process
readable-stream,string_decoder
find-up,locate-path
find-up,unicorn-magic
p-limit,yocto-queue
locate-path,p-locate
p-locate,p-limit
ajv,fast-uri
ajv,fast-deep-equal
ajv,require-from-string
ajv,json-schema-traverse
glob-parent,is-glob
is-fullwidth-code-point,get-east-asian-width
which,isexe
string_decoder,safe-buffer
@types/node,undici-types
js-yaml,argparse
iconv-lite,safer-buffer
yargs,cliui
yargs,escalade
yargs,get-caller-file
yargs,string-width
yargs,y18n
yargs,yargs-parser
pretty-format,@jest/schemas
pretty-format,ansi-styles
pretty-format,react-is
get-stream,@sec-ant/readable-stream
get-stream,is-stream
fs-extra,jsonfile
fs-extra,graceful-fs
fs-extra,universalify
cliui,string-width
cliui,strip-ansi
cliui,wrap-ansi
resolve,is-core-module
resolve,path-parse
resolve,supports-preserve-symlinks-flag
@jridgewell/trace-mapping,@jridgewell/resolve-uri
@jridgewell/trace-mapping,@jridgewell/sourcemap-codec
cross-spawn,which
cross-spawn,path-key
cross-spawn,shebang-command
postcss,nanoid
postcss,picocolors
postcss,source-map-js
form-data,hasown
form-data,asynckit
form-data,mime-types
form-data,combined-stream
form-data,es-set-tostringtag
rimraf,glob
rimraf,package-json-from-dist
whatwg-url,tr46
whatwg-url,webidl-conversions
https-proxy-agent,debug
https-proxy-agent,agent-base
mime-types,mime-db
qs,side-channel
tr46,punycode
execa,figures
execa,is-stream
execa,pretty-ms
execa,get-stream
execa,cross-spawn
execa,signal-exit
execa,yoctocolors
execa,is-plain-obj
execa,npm-run-path
execa,human-signals
execa,strip-final-newline
execa,@sindresorhus/merge-streams
@babel/types,@babel/helper-string-parser
@babel/types,@babel/helper-validator-identifier
braces,fill-range
shebang-command,shebang-regex
fill-range,to-regex-range
onetime,mimic-function
@jest/types,@jest/pattern
@jest/types,@jest/schemas
@jest/types,@types/istanbul-lib-coverage
@jest/types,@types/istanbul-reports
@jest/types,@types/node
@jest/types,@types/yargs
@jest/types,chalk
micromatch,braces
micromatch,picomatch
