package,in_degree,betweenness,is_top100
@babel/helper-string-parser,1,0.000000,False
@babel/helper-validator-identifier,1,0.000000,False
@babel/types,0,0.000000,True
@isaacs/brace-expansion,1,0.000000,False
@jest/pattern,1,0.000000,False
@jest/schemas,2,0.000000,False
@jest/types,0,0.000000,True
@jridgewell/resolve-uri,1,0.000000,False
@jridgewell/sourcemap-codec,1,0.000000,False
@jridgewell/trace-mapping,0,0.000000,True
@sec-ant/readable-stream,1,0.000000,False
@sindresorhus/merge-streams,1,0.000000,False
@types/istanbul-lib-coverage,1,0.000000,False
@types/istanbul-reports,1,0.000000,False
@types/node,1,0.000042,True
@types/yargs,1,0.000000,False
abort-controller,1,0.000000,False
acorn,0,0.000000,True
agent-base,1,0.000000,True
ajv,0,0.000000,True
ansi-regex,1,0.000000,True
ansi-styles,2,0.000000,True
argparse,1,0.000000,True
asynckit,1,0.000000,False
balanced-match,1,0.000000,False
brace-expansion,0,0.000000,True
braces,1,0.000085,True
buffer,1,0.000000,False
camelcase,0,0.000000,True
chalk,1,0.000000,True
cliui,1,0.000127,True
color-convert,0,0.000000,True
color-name,1,0.000000,True
combined-stream,1,0.000000,False
commander,0,0.000000,True
convert-source-map,0,0.000000,True
cross-spawn,1,0.000212,True
debug,1,0.000042,True
emoji-regex,0,0.000000,True
entities,0,0.000000,True
es-set-tostringtag,1,0.000000,False
escalade,1,0.000000,False
escape-string-regexp,0,0.000000,True
eslint-visitor-keys,0,0.000000,True
estraverse,0,0.000000,True
events,1,0.000000,False
execa,0,0.000000,True
fast-deep-equal,1,0.000000,False
fast-uri,1,0.000000,False
figures,1,0.000000,False
fill-range,1,0.000085,True
find-up,0,0.000000,True
foreground-child,1,0.000000,False
form-data,0,0.000000,True
fs-extra,0,0.000000,True
get-caller-file,1,0.000000,False
get-east-asian-width,2,0.000000,False
get-stream,1,0.000042,True
glob,1,0.000255,True
glob-parent,0,0.000000,True
globals,0,0.000000,True
graceful-fs,1,0.000000,False
has-flag,0,0.000000,True
hasown,1,0.000000,False
https-proxy-agent,0,0.000000,True
human-signals,1,0.000000,False
iconv-lite,0,0.000000,True
ignore,0,0.000000,True
inherits,0,0.000000,True
is-core-module,1,0.000000,False
is-fullwidth-code-point,0,0.000000,True
is-glob,1,0.000000,False
is-number,0,0.000000,True
is-plain-obj,1,0.000000,False
is-stream,2,0.000000,True
isarray,0,0.000000,True
isexe,1,0.000000,True
jackspeak,1,0.000000,False
js-yaml,0,0.000000,True
json-schema-traverse,1,0.000000,True
json5,0,0.000000,True
jsonfile,1,0.000000,False
kind-of,0,0.000000,True
locate-path,1,0.000127,True
lru-cache,0,0.000000,True
make-dir,0,0.000000,True
micromatch,0,0.000000,True
mime-db,1,0.000000,True
mime-types,1,0.000042,True
mimic-function,1,0.000000,False
minimatch,1,0.000085,True
minipass,1,0.000000,True
mkdirp,0,0.000000,True
ms,1,0.000000,True
nanoid,1,0.000000,False
npm-run-path,1,0.000000,False
onetime,0,0.000000,True
p-limit,1,0.000127,True
p-locate,1,0.000170,True
package-json-from-dist,2,0.000000,False
path-exists,0,0.000000,True
path-key,1,0.000000,True
path-parse,1,0.000000,False
path-scurry,1,0.000000,False
picocolors,1,0.000000,True
picomatch,1,0.000000,True
postcss,0,0.000000,True
pretty-format,0,0.000000,True
pretty-ms,1,0.000000,False
process,1,0.000000,False
punycode,1,0.000000,True
qs,0,0.000000,True
react-is,1,0.000000,True
readable-stream,0,0.000000,True
require-from-string,1,0.000000,False
resolve,0,0.000000,True
resolve-from,0,0.000000,True
rimraf,0,0.000000,True
safe-buffer,1,0.000000,True
safer-buffer,1,0.000000,False
semver,0,0.000000,True
shebang-command,1,0.000085,True
shebang-regex,1,0.000000,False
side-channel,1,0.000000,False
signal-exit,1,0.000000,True
slash,0,0.000000,True
source-map,0,0.000000,True
source-map-js,1,0.000000,False
string-width,3,0.000170,True
string_decoder,1,0.000042,True
strip-ansi,3,0.000170,True
strip-final-newline,1,0.000000,False
strip-json-comments,0,0.000000,True
supports-color,0,0.000000,True
supports-preserve-symlinks-flag,1,0.000000,False
tagged-tag,1,0.000000,False
to-regex-range,1,0.000000,False
tr46,1,0.000042,True
tslib,0,0.000000,True
type-fest,0,0.000000,True
undici-types,1,0.000000,True
unicorn-magic,1,0.000000,False
universalify,1,0.000000,True
uuid,0,0.000000,True
webidl-conversions,1,0.000000,True
whatwg-url,0,0.000000,True
which,1,0.000085,True
wrap-ansi,1,0.000085,True
ws,0,0.000000,True
y18n,1,0.000000,False
yallist,0,0.000000,True
yargs,0,0.000000,True
yargs-parser,1,0.000000,True
yocto-queue,1,0.000000,False
yoctocolors,1,0.000000,False
